epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6247,1.60171,3.18637,2.36803,0.00333,1,0.4975,0.3036,1.32324,3.22928,2.04413,0,0,0
2,14.4411,1.50978,3.39777,2.29055,0.00333,1,0.4975,0.29992,1.24713,3.27364,2.01869,1.802e-05,1.802e-05,1.802e-05
3,15.9747,1.53175,3.00093,2.60396,0.00333,1,0.995,0.60016,1.14612,3.40509,1.96961,3.208e-05,3.208e-05,3.208e-05
4,17.5711,1.47896,3.15034,2.55622,0.00333,1,0.995,0.59884,1.03299,3.47132,1.9225,4.218e-05,4.218e-05,4.218e-05
5,19.2147,1.00225,3.75918,2.07439,0.00333,1,0.995,0.60322,1.06761,3.3846,1.87117,4.832e-05,4.832e-05,4.832e-05
6,21.2323,1.65147,3.23546,2.15577,0.00333,1,0.995,0.60285,0.88813,3.22559,1.70791,5.05e-05,5.05e-05,5.05e-05
7,22.8074,2.01803,3.61415,2.95393,0.00333,1,0.995,0.60944,0.80571,3.19415,1.56847,4.872e-05,4.872e-05,4.872e-05
8,24.3135,0.68765,3.10598,0.94276,0.00333,1,0.995,0.60465,0.8492,3.16165,1.47575,4.298e-05,4.298e-05,4.298e-05
9,25.8501,0.8136,2.91838,1.56531,0.00333,1,0.995,0.6965,0.87076,3.10944,1.44073,3.328e-05,3.328e-05,3.328e-05
10,28.2608,0.74024,2.60992,1.58821,0.00333,1,0.995,0.6965,0.86533,3.07901,1.42083,1.962e-05,1.962e-05,1.962e-05
